id,breed
21783,dhole
6900,weimaraner
2048,tibetan terrier
18049,welsh springer spaniel
22593,otterhound
17689,irish water spaniel
1674,mexican hairless
10384,french bulldog
13145,chesapeake bay retriever
19370,border collie
5045,sussex spaniel
20430,maltese dog
16729,pomeranian
6494,basenji
7833,german short-haired pointer
21563,newfoundland
21660,dhole
15418,great pyrenees
3582,bernese mountain dog
2968,irish terrier
18631,miniature schnauzer
6027,sealyham terrier
13598,shetland sheepdog
7113,appenzeller
5590,toy terrier
21914,brittany spaniel
8215,yorkshire terrier
21040,bloodhound
9450,cocker spaniel
16179,american staffordshire terrier
8389,bedlington terrier
11620,pekinese
8594,keeshond
21940,brittany spaniel
21272,gordon setter
10034,rottweiler
18668,miniature schnauzer
3723,miniature pinscher
10708,komondor
16790,airedale
22153,ibizan hound
18577,miniature schnauzer
10911,labrador retriever
23454,afghan hound
14239,clumber
19254,border collie
3569,bernese mountain dog
5784,redbone
1517,basset
12824,border terrier
15966,toy poodle
972,kelpie
18490,miniature schnauzer
17586,irish water spaniel
1810,staffordshire bullterrier
13897,malinois
18129,dandie dinmont
23161,schipperke
23511,afghan hound
8313,yorkshire terrier
1195,bluetick
9887,scotch terrier
5662,redbone
5687,redbone
19967,norfolk terrier
6142,doberman
4551,dingo
18124,dandie dinmont
6040,sealyham terrier
20909,siberian husky
12396,saluki
15768,african hunting dog
20683,kerry blue terrier
23508,afghan hound
12653,border terrier
15141,boxer
8002,giant schnauzer
14023,silky terrier
19938,norfolk terrier
22691,otterhound
23220,pembroke
5889,sealyham terrier
3071,irish terrier
3775,miniature pinscher
19247,curly-coated retriever
13845,malinois
9048,cardigan
3344,vizsla
5668,redbone
18344,german shepherd
18280,german shepherd
12839,border terrier
7771,norwich terrier
9279,blenheim spaniel
13624,shetland sheepdog
15674,african hunting dog
10382,french bulldog
5663,redbone
3164,soft-coated wheaten terrier
16018,greater swiss mountain dog
9745,scotch terrier
14544,old english sheepdog
19499,tibetan mastiff
16093,greater swiss mountain dog
13510,shetland sheepdog
22916,kuvasz
18628,miniature schnauzer
958,standard poodle
21710,dhole
6341,bull mastiff
11230,standard schnauzer
15065,boxer
3129,soft-coated wheaten terrier
10426,french bulldog
14830,boxer
18672,brabancon griffon
14126,silky terrier
19549,tibetan mastiff
21712,dhole
1081,kelpie
18003,welsh springer spaniel
14031,silky terrier
15056,boxer
6869,weimaraner
14872,boxer
22616,otterhound
11469,malamute
23308,pembroke
20859,siberian husky
612,west highland white terrier
13540,shetland sheepdog
13438,shetland sheepdog
20439,maltese dog
13316,samoyed
19623,tibetan mastiff
7794,german short-haired pointer
6440,bull mastiff
19555,tibetan mastiff
6686,beagle
13205,chesapeake bay retriever
5297,groenendael
8121,giant schnauzer
20701,kerry blue terrier
5484,toy terrier
9533,scottish deerhound
19087,curly-coated retriever
7296,leonberg
18824,brabancon griffon
8070,giant schnauzer
11365,malamute
18268,dandie dinmont
7845,german short-haired pointer
6498,basenji
4065,japanese spaniel
6371,bull mastiff
19066,curly-coated retriever
4850,entlebucher
2359,black-and-tan coonhound
13089,chesapeake bay retriever
18053,welsh springer spaniel
17915,welsh springer spaniel
9751,scotch terrier
17994,welsh springer spaniel
20753,kerry blue terrier
5016,sussex spaniel
20881,siberian husky
19162,curly-coated retriever
12582,whippet
21241,gordon setter
8291,yorkshire terrier
16191,american staffordshire terrier
673,west highland white terrier
6713,beagle
1135,kelpie
8286,yorkshire terrier
7129,appenzeller
19369,border collie
21177,bloodhound
3458,vizsla
6734,beagle
658,west highland white terrier
7760,norwich terrier
8072,giant schnauzer
17297,chow
2694,briard
21450,newfoundland
13954,malinois
21583,newfoundland
13104,chesapeake bay retriever
7475,chihuahua
7538,chihuahua
13449,shetland sheepdog
13414,samoyed
9799,scotch terrier
6347,bull mastiff
17849,irish setter
16519,miniature poodle
21657,dhole
9366,cocker spaniel
12273,saluki
7863,german short-haired pointer
10718,komondor
18516,miniature schnauzer
8276,yorkshire terrier
8917,walker hound
13451,shetland sheepdog
6213,doberman
14238,clumber
6633,basenji
4166,lhasa
21407,newfoundland
9031,cardigan
21009,siberian husky
6328,bull mastiff
6511,basenji
17862,irish setter
9770,scotch terrier
5839,redbone
4744,entlebucher
11966,cairn
8779,walker hound
20827,siberian husky
17235,chow
7030,appenzeller
18181,dandie dinmont
8279,yorkshire terrier
11164,standard schnauzer
7382,leonberg
8451,bedlington terrier
11221,standard schnauzer
17306,chow
16542,miniature poodle
5154,great dane
1500,basset
7364,leonberg
17491,borzoi
1600,mexican hairless
2355,black-and-tan coonhound
14093,silky terrier
8513,bedlington terrier
199,bouvier des flandres
9710,scottish deerhound
12337,saluki
13480,shetland sheepdog
18474,miniature schnauzer
4082,lhasa
21262,gordon setter
9498,cocker spaniel
6020,sealyham terrier
7452,chihuahua
10287,norwegian elkhound
11001,labrador retriever
1380,basset
2439,black-and-tan coonhound
19069,curly-coated retriever
19192,curly-coated retriever
8596,keeshond
16401,miniature poodle
6597,basenji
22161,ibizan hound
11491,pekinese
20339,australian terrier
17946,welsh springer spaniel
16638,pomeranian
7390,leonberg
10494,french bulldog
10200,norwegian elkhound
22144,ibizan hound
2321,papillon
18121,dandie dinmont
13430,samoyed
6499,basenji
19078,curly-coated retriever
6992,weimaraner
6156,doberman
17526,irish water spaniel
15890,toy poodle
5655,toy terrier
2496,black-and-tan coonhound
2923,irish terrier
7102,appenzeller
18613,miniature schnauzer
11250,standard schnauzer
19919,norfolk terrier
21829,brittany spaniel
8722,keeshond
974,kelpie
313,bouvier des flandres
11203,standard schnauzer
11113,standard schnauzer
5310,groenendael
12513,whippet
17233,chow
9416,cocker spaniel
3450,vizsla
16361,miniature poodle
6472,basenji
21770,dhole
2586,briard
1869,staffordshire bullterrier
3007,irish terrier
15581,great pyrenees
14363,clumber
6978,weimaraner
15906,toy poodle
15195,boxer
19346,border collie
14415,old english sheepdog
23457,afghan hound
130,english springer
17793,irish setter
5593,toy terrier
17990,welsh springer spaniel
15305,collie
21055,bloodhound
11379,malamute
15419,great pyrenees
1677,mexican hairless
21679,dhole
5873,sealyham terrier
22056,ibizan hound
8073,giant schnauzer
13160,chesapeake bay retriever
17718,irish setter
7020,weimaraner
6036,sealyham terrier
1543,basset
4394,italian greyhound
16460,miniature poodle
21702,dhole
19092,curly-coated retriever
20469,maltese dog
20474,maltese dog
8876,walker hound
3625,bernese mountain dog
16116,greater swiss mountain dog
14555,old english sheepdog
13271,samoyed
9923,rottweiler
4595,dingo
18385,german shepherd
14827,boxer
4208,lhasa
12605,whippet
22986,kuvasz
4402,italian greyhound
21654,dhole
2286,papillon
14148,silky terrier
10989,labrador retriever
10158,norwegian elkhound
10941,labrador retriever
14627,lakeland terrier
5742,redbone
5090,great dane
4651,dingo
15030,boxer
2679,briard
18448,german shepherd
5443,groenendael
6711,beagle
5642,toy terrier
9171,blenheim spaniel
2435,black-and-tan coonhound
20964,siberian husky
13627,shetland sheepdog
4805,entlebucher
18273,dandie dinmont
13537,shetland sheepdog
22644,otterhound
23124,schipperke
2869,boston bull
21597,newfoundland
21324,gordon setter
19506,tibetan mastiff
17584,irish water spaniel
6866,weimaraner
23155,schipperke
13958,malinois
918,standard poodle
22580,saint bernard
20784,kerry blue terrier
22517,saint bernard
16756,airedale
11299,malamute
9938,rottweiler
15918,toy poodle
5822,redbone
1554,mexican hairless
18456,german shepherd
18982,golden retriever
19246,curly-coated retriever
22463,saint bernard
3613,bernese mountain dog
1662,mexican hairless
9958,rottweiler
6143,doberman
14268,clumber
16193,american staffordshire terrier
9650,scottish deerhound
3556,bernese mountain dog
1743,mexican hairless
13740,english setter
16836,airedale
9721,scottish deerhound
8285,yorkshire terrier
7262,leonberg
399,flat-coated retriever
17383,borzoi
20423,australian terrier
20148,rhodesian ridgeback
9097,cardigan
10235,norwegian elkhound
360,bouvier des flandres
11729,irish wolfhound
19815,english foxhound
13325,samoyed
12709,border terrier
7148,appenzeller
17039,wire-haired fox terrier
10279,norwegian elkhound
9480,cocker spaniel
11397,malamute
2742,boston bull
13551,shetland sheepdog
15411,great pyrenees
1834,staffordshire bullterrier
13970,malinois
3259,soft-coated wheaten terrier
4840,entlebucher
5713,redbone
14984,boxer
15414,great pyrenees
10343,french bulldog
9125,cardigan
18734,brabancon griffon
8660,keeshond
21673,dhole
19580,tibetan mastiff
3583,bernese mountain dog
22293,affenpinscher
11930,cairn
6993,weimaraner
12265,shih-tzu
854,standard poodle
8210,yorkshire terrier
1381,basset
686,west highland white terrier
10413,french bulldog
10349,french bulldog
7182,appenzeller
15555,great pyrenees
9454,cocker spaniel
1383,basset
20218,rhodesian ridgeback
12756,border terrier
718,west highland white terrier
9652,scottish deerhound
11466,malamute
15654,african hunting dog
11929,cairn
16619,pomeranian
17732,irish setter
9780,scotch terrier
3805,miniature pinscher
9703,scottish deerhound
16964,wire-haired fox terrier
19473,tibetan mastiff
10040,rottweiler
3156,soft-coated wheaten terrier
23151,schipperke
4073,japanese spaniel
5681,redbone
7796,german short-haired pointer
15073,boxer
12918,eskimo dog
11562,pekinese
21506,newfoundland
10951,labrador retriever
7621,norwich terrier
1069,kelpie
4124,lhasa
2726,boston bull
9070,cardigan
4159,lhasa
1658,mexican hairless
11589,pekinese
14358,clumber
22139,ibizan hound
11592,pekinese
5728,redbone
21455,newfoundland
20614,maltese dog
1963,tibetan terrier
6549,basenji
595,west highland white terrier
3490,bernese mountain dog
15025,boxer
16532,miniature poodle
23517,afghan hound
15859,toy poodle
9841,scotch terrier
20867,siberian husky
20682,kerry blue terrier
12164,shih-tzu
19968,norfolk terrier
22544,saint bernard
15580,great pyrenees
13907,malinois
22959,kuvasz
21957,brittany spaniel
19147,curly-coated retriever
16144,greater swiss mountain dog
2992,irish terrier
17110,wire-haired fox terrier
10948,labrador retriever
11613,pekinese
1174,bluetick
4386,italian greyhound
75,english springer
12423,saluki
21288,gordon setter
13533,shetland sheepdog
10834,komondor
12625,whippet
13408,samoyed
2931,irish terrier
10748,komondor
14861,boxer
18720,brabancon griffon
5432,groenendael
12228,shih-tzu
22970,kuvasz
19629,tibetan mastiff
4703,entlebucher
793,standard poodle
4341,italian greyhound
9892,scotch terrier
22713,otterhound
19349,border collie
5506,toy terrier
7888,german short-haired pointer
1060,kelpie
596,west highland white terrier
19522,tibetan mastiff
15570,great pyrenees
16228,american staffordshire terrier
10212,norwegian elkhound
20735,kerry blue terrier
21687,dhole
11308,malamute
16189,american staffordshire terrier
13326,samoyed
10714,komondor
1031,kelpie
22273,affenpinscher
6154,doberman
18787,brabancon griffon
14720,lakeland terrier
15998,greater swiss mountain dog
15043,boxer
13507,shetland sheepdog
19962,norfolk terrier
747,west highland white terrier
5141,great dane
22630,otterhound
15899,toy poodle
12766,border terrier
20794,kerry blue terrier
15145,boxer
7079,appenzeller
1649,mexican hairless
19461,tibetan mastiff
13254,samoyed
10389,french bulldog
17533,irish water spaniel
5450,groenendael
6566,basenji
16425,miniature poodle
20048,rhodesian ridgeback
19176,curly-coated retriever
22111,ibizan hound
20363,australian terrier
9600,scottish deerhound
9257,blenheim spaniel
17538,irish water spaniel
3019,irish terrier
6803,beagle
18512,miniature schnauzer
6504,basenji
17393,borzoi
6824,beagle
5524,toy terrier
17409,borzoi
19267,border collie
9577,scottish deerhound
14964,boxer
17666,irish water spaniel
2296,papillon
2788,boston bull
18883,golden retriever
4605,dingo
22419,saint bernard
3634,bernese mountain dog
1137,kelpie
5538,toy terrier
21626,dhole
9550,scottish deerhound
18918,golden retriever
7199,appenzeller
17276,chow
15071,boxer
20560,maltese dog
17989,welsh springer spaniel
2706,briard
15133,boxer
11914,cairn
23223,pembroke
4579,dingo
23067,schipperke
9046,cardigan
13489,shetland sheepdog
22109,ibizan hound
16210,american staffordshire terrier
7416,chihuahua
19890,norfolk terrier
6995,weimaraner
20568,maltese dog
18398,german shepherd
4348,italian greyhound
16385,miniature poodle
22003,brittany spaniel
4126,lhasa
17939,welsh springer spaniel
17368,borzoi
4205,lhasa
4423,italian greyhound
16249,american staffordshire terrier
11602,pekinese
4865,entlebucher
2139,papillon
15752,african hunting dog
19397,border collie
4294,italian greyhound
13401,samoyed
3000,irish terrier
9292,blenheim spaniel
19030,golden retriever
22456,saint bernard
2147,papillon
18752,brabancon griffon
16413,miniature poodle
11944,cairn
169,english springer
3769,miniature pinscher
12764,border terrier
6853,weimaraner
8160,giant schnauzer
14394,clumber
12791,border terrier
21845,brittany spaniel
15050,boxer
20911,siberian husky
7283,leonberg
8738,keeshond
16889,airedale
11887,cairn
2171,papillon
13068,chesapeake bay retriever
5579,toy terrier
5704,redbone
16615,pomeranian
11004,labrador retriever
19319,border collie
15661,african hunting dog
10407,french bulldog
9524,cocker spaniel
15692,african hunting dog
1050,kelpie
12781,border terrier
14289,clumber
6320,bull mastiff
7263,leonberg
19753,english foxhound
19799,english foxhound
7227,leonberg
11988,cairn
4822,entlebucher
16855,airedale
10607,pug
3816,miniature pinscher
3108,soft-coated wheaten terrier
15721,african hunting dog
20562,maltese dog
19178,curly-coated retriever
5753,redbone
2283,papillon
2882,boston bull
3034,irish terrier
951,standard poodle
18736,brabancon griffon
1679,mexican hairless
3744,miniature pinscher
17591,irish water spaniel
3564,bernese mountain dog
13719,english setter
9199,blenheim spaniel
7438,chihuahua
3890,japanese spaniel
12451,saluki
12235,shih-tzu
14145,silky terrier
15166,boxer
15371,collie
19158,curly-coated retriever
12037,cairn
12262,shih-tzu
22377,affenpinscher
10238,norwegian elkhound
7653,norwich terrier
8804,walker hound
4501,dingo
9967,rottweiler
19691,english foxhound
11432,malamute
6059,sealyham terrier
9769,scotch terrier
13241,samoyed
2293,papillon
8324,yorkshire terrier
15219,collie
18204,dandie dinmont
5119,great dane
17814,irish setter
21616,dhole
11136,standard schnauzer
15408,great pyrenees
13263,samoyed
5901,sealyham terrier
18147,dandie dinmont
2269,papillon
2280,papillon
11826,irish wolfhound
11886,cairn
7703,norwich terrier
9184,blenheim spaniel
7075,appenzeller
7288,leonberg
10713,komondor
8336,yorkshire terrier
20571,maltese dog
7246,leonberg
7325,leonberg
21248,gordon setter
2406,black-and-tan coonhound
3940,japanese spaniel
22360,affenpinscher
18242,dandie dinmont
12398,saluki
12853,eskimo dog
9196,blenheim spaniel
200,bouvier des flandres
14414,old english sheepdog
8335,yorkshire terrier
8253,yorkshire terrier
18611,miniature schnauzer
12940,eskimo dog
3221,soft-coated wheaten terrier
10994,labrador retriever
23229,pembroke
21622,dhole
7093,appenzeller
17217,chow
3430,vizsla
15360,collie
853,standard poodle
4274,lhasa
15806,toy poodle
16419,miniature poodle
20446,maltese dog
13986,malinois
7954,german short-haired pointer
23533,afghan hound
5186,great dane
3063,irish terrier
21213,gordon setter
1942,tibetan terrier
5274,groenendael
21737,dhole
12958,eskimo dog
20142,rhodesian ridgeback
8807,walker hound
19103,curly-coated retriever
14073,silky terrier
5314,groenendael
6747,beagle
21906,brittany spaniel
10388,french bulldog
16708,pomeranian
12601,whippet
3763,miniature pinscher
22865,kuvasz
7585,chihuahua
21570,newfoundland
11920,cairn
1388,basset
8046,giant schnauzer
1806,staffordshire bullterrier
23198,pembroke
7764,norwich terrier
8850,walker hound
23499,afghan hound
20511,maltese dog
22070,ibizan hound
890,standard poodle
14864,boxer
11458,malamute
22838,kuvasz
10724,komondor
19447,border collie
19054,golden retriever
16906,airedale
16903,airedale
11571,pekinese
8623,keeshond
851,standard poodle
13644,english setter
997,kelpie
7970,german short-haired pointer
13778,english setter
22952,kuvasz
4306,italian greyhound
8883,walker hound
8140,giant schnauzer
13951,malinois
4626,dingo
22798,kuvasz
5508,toy terrier
22761,otterhound
11163,standard schnauzer
3681,miniature pinscher
14397,clumber
21521,newfoundland
19954,norfolk terrier
14083,silky terrier
2247,papillon
17011,wire-haired fox terrier
21514,newfoundland
21591,newfoundland
4834,entlebucher
4957,sussex spaniel
2,english springer
970,kelpie
3247,soft-coated wheaten terrier
20844,siberian husky
8456,bedlington terrier
11309,malamute
20799,kerry blue terrier
9250,blenheim spaniel
6067,doberman
10586,pug
3803,miniature pinscher
13237,chesapeake bay retriever
13046,chesapeake bay retriever
7117,appenzeller
9998,rottweiler
7640,norwich terrier
13638,english setter
4907,sussex spaniel
7698,norwich terrier
2479,black-and-tan coonhound
3219,soft-coated wheaten terrier
14047,silky terrier
23094,schipperke
6073,doberman
17966,welsh springer spaniel
1668,mexican hairless
6,english springer
19392,border collie
465,flat-coated retriever
10884,komondor
2241,papillon
1449,basset
18815,brabancon griffon
20301,australian terrier
2774,boston bull
9352,cocker spaniel
5343,groenendael
8255,yorkshire terrier
15716,african hunting dog
22884,kuvasz
3232,soft-coated wheaten terrier
13168,chesapeake bay retriever
19106,curly-coated retriever
19292,border collie
21163,bloodhound
15464,great pyrenees
14883,boxer
14885,boxer
4500,dingo
7856,german short-haired pointer
6708,beagle
12888,eskimo dog
6272,bull mastiff
6104,doberman
22086,ibizan hound
12313,saluki
15214,collie
10676,pug
8999,cardigan
14953,boxer
8003,giant schnauzer
6964,weimaraner
999,kelpie
2667,briard
10376,french bulldog
10758,komondor
7101,appenzeller
7644,norwich terrier
22162,ibizan hound
19190,curly-coated retriever
13373,samoyed
15725,african hunting dog
19958,norfolk terrier
10438,french bulldog
9122,cardigan
4800,entlebucher
3845,miniature pinscher
11492,pekinese
9752,scotch terrier
14845,boxer
10824,komondor
20578,maltese dog
15467,great pyrenees
22178,ibizan hound
6984,weimaraner
56,english springer
19710,english foxhound
9737,scotch terrier
8878,walker hound
10449,french bulldog
14788,lakeland terrier
5741,redbone
12597,whippet
6608,basenji
9684,scottish deerhound
19050,golden retriever
16369,miniature poodle
9170,blenheim spaniel
3028,irish terrier
13331,samoyed
10733,komondor
7986,giant schnauzer
2012,tibetan terrier
17643,irish water spaniel
12883,eskimo dog
12624,whippet
7363,leonberg
10227,norwegian elkhound
18097,dandie dinmont
20557,maltese dog
1700,mexican hairless
1041,kelpie
10478,french bulldog
11437,malamute
23453,afghan hound
9740,scotch terrier
13603,shetland sheepdog
8149,giant schnauzer
22267,affenpinscher
13204,chesapeake bay retriever
550,flat-coated retriever
16354,american staffordshire terrier
10291,norwegian elkhound
22849,kuvasz
7815,german short-haired pointer
23482,afghan hound
16205,american staffordshire terrier
13448,shetland sheepdog
7242,leonberg
19692,english foxhound
14421,old english sheepdog
4979,sussex spaniel
19700,english foxhound
22148,ibizan hound
11651,pekinese
21488,newfoundland
2948,irish terrier
22740,otterhound
21339,gordon setter
17033,wire-haired fox terrier
19455,tibetan mastiff
15526,great pyrenees
12604,whippet
4128,lhasa
12214,shih-tzu
18463,german shepherd
11362,malamute
1912,staffordshire bullterrier
378,bouvier des flandres
3172,soft-coated wheaten terrier
11888,cairn
19646,english foxhound
11874,cairn
6191,doberman
18548,miniature schnauzer
15019,boxer
5002,sussex spaniel
17741,irish setter
13020,eskimo dog
16891,airedale
10856,komondor
22661,otterhound
17422,borzoi
6041,sealyham terrier
16940,airedale
12626,whippet
7956,german short-haired pointer
19449,tibetan mastiff
10999,labrador retriever
1638,mexican hairless
18899,golden retriever
16535,miniature poodle
2110,tibetan terrier
21684,dhole
11295,malamute
20310,australian terrier
15431,great pyrenees
9372,cocker spaniel
1506,basset
9314,blenheim spaniel
16996,wire-haired fox terrier
19316,border collie
16515,miniature poodle
4683,entlebucher
18000,welsh springer spaniel
22315,affenpinscher
13313,samoyed
786,standard poodle
13289,samoyed
9551,scottish deerhound
11806,irish wolfhound
4933,sussex spaniel
19405,border collie
21088,bloodhound
3098,soft-coated wheaten terrier
19607,tibetan mastiff
4704,entlebucher
13260,samoyed
20364,australian terrier
2026,tibetan terrier
12751,border terrier
16805,airedale
19811,english foxhound
9840,scotch terrier
12703,border terrier
11428,malamute
5331,groenendael
14568,old english sheepdog
14757,lakeland terrier
5358,groenendael
11508,pekinese
16336,american staffordshire terrier
2879,boston bull
21075,bloodhound
11053,labrador retriever
994,kelpie
22831,kuvasz
271,bouvier des flandres
1110,kelpie
16594,pomeranian
9694,scottish deerhound
1413,basset
10066,rottweiler
9296,blenheim spaniel
22085,ibizan hound
19004,golden retriever
10760,komondor
14129,silky terrier
11827,irish wolfhound
17296,chow
12931,eskimo dog
19326,border collie
22057,ibizan hound
20758,kerry blue terrier
5547,toy terrier
7995,giant schnauzer
1722,mexican hairless
7183,appenzeller
8516,bedlington terrier
7399,chihuahua
4776,entlebucher
7269,leonberg
3029,irish terrier
17062,wire-haired fox terrier
825,standard poodle
17341,borzoi
22424,saint bernard
22974,kuvasz
6513,basenji
7920,german short-haired pointer
12951,eskimo dog
5610,toy terrier
14147,silky terrier
2361,black-and-tan coonhound
474,flat-coated retriever
4436,italian greyhound
18192,dandie dinmont
14246,clumber
3275,soft-coated wheaten terrier
7610,norwich terrier
11474,malamute
6113,doberman
19941,norfolk terrier
2702,briard
5932,sealyham terrier
17570,irish water spaniel
392,flat-coated retriever
4921,sussex spaniel
7463,chihuahua
18337,german shepherd
721,west highland white terrier
1244,bluetick
22584,saint bernard
10321,french bulldog
8549,bedlington terrier
6565,basenji
2516,black-and-tan coonhound
8833,walker hound
3902,japanese spaniel
9327,blenheim spaniel
6340,bull mastiff
20349,australian terrier
8035,giant schnauzer
17944,welsh springer spaniel
19840,norfolk terrier
10294,norwegian elkhound
1529,basset
4499,dingo
14765,lakeland terrier
23280,pembroke
15122,boxer
19906,norfolk terrier
21212,gordon setter
10194,norwegian elkhound
3535,bernese mountain dog
1538,basset
352,bouvier des flandres
12307,saluki
19851,norfolk terrier
9106,cardigan
21255,gordon setter
14323,clumber
7152,appenzeller
10467,french bulldog
13216,chesapeake bay retriever
22643,otterhound
12490,whippet
20478,maltese dog
4457,italian greyhound
2077,tibetan terrier
20047,rhodesian ridgeback
16854,airedale
820,standard poodle
1516,basset
5303,groenendael
1738,mexican hairless
20175,rhodesian ridgeback
